City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Kyzyl-Mazhalyk,RU,2022-05-29 17:05:28,51.1333,90.6,63.37,67,100,2.37,overcast clouds
60,Norman Wells,CA,2022-05-29 17:05:28,65.282,-126.8329,53.58,49,97,1.86,overcast clouds
61,Kaitangata,NZ,2022-05-29 17:05:28,-46.2817,169.8464,46.17,87,100,8.79,overcast clouds
62,Tasiilaq,GL,2022-05-29 17:05:28,65.6145,-37.6368,39.36,99,100,7.25,overcast clouds
63,San Ramon,US,2022-05-29 17:05:29,37.7799,-121.978,67.6,58,0,13.8,clear sky
64,Lorengau,PG,2022-05-29 17:05:29,-2.0226,147.2712,79.79,82,29,2.48,scattered clouds
65,Honningsvag,NO,2022-05-29 17:03:10,70.9821,25.9704,42.55,93,40,12.66,scattered clouds
66,Bobrovskiy,RU,2022-05-29 17:05:29,56.6732,60.9807,60.96,44,0,11.18,clear sky
67,Busselton,AU,2022-05-29 17:05:30,-33.65,115.3333,54.9,74,100,4.59,overcast clouds
68,Constitucion,CL,2022-05-29 17:05:30,-35.3333,-72.4167,51.98,43,0,7.45,clear sky
69,Lagoa,PT,2022-05-29 17:05:30,39.05,-27.9833,56.91,66,24,23.55,light rain
70,Bell Ville,AR,2022-05-29 17:05:31,-32.6259,-62.6887,53.67,20,65,11.07,broken clouds
71,Pore,CO,2022-05-29 17:05:31,5.7272,-71.9947,85.87,54,70,7.9,broken clouds
72,Chernyshevskiy,RU,2022-05-29 17:05:31,63.0128,112.4714,43.66,46,100,2.75,overcast clouds
73,Buta,CD,2022-05-29 17:05:32,2.7858,24.73,79.14,61,65,0.2,broken clouds
74,Kavieng,PG,2022-05-29 17:05:32,-2.5744,150.7967,81.79,76,79,9.84,broken clouds
75,Nykoping,SE,2022-05-29 17:05:32,58.753,17.0079,58.86,54,0,10.36,clear sky
76,Pevek,RU,2022-05-29 17:05:33,69.7008,170.3133,27.72,84,97,2.26,overcast clouds
77,Sitka,US,2022-05-29 17:05:07,57.0531,-135.33,49.89,81,100,5.75,overcast clouds
78,Rivera,UY,2022-05-29 17:05:33,-30.9053,-55.5508,59.86,64,20,12.24,few clouds
79,Nova Olimpia,BR,2022-05-29 17:05:33,-14.7972,-57.2881,93.15,34,20,8.63,few clouds
80,Pacifica,US,2022-05-29 17:05:34,37.6138,-122.4869,67.68,67,20,10.36,few clouds
81,Guerrero Negro,MX,2022-05-29 17:05:34,27.9769,-114.0611,66.83,65,51,20.85,broken clouds
82,Walvis Bay,NA,2022-05-29 17:04:31,-22.9575,14.5053,59.09,64,0,16.13,clear sky
83,Korla,CN,2022-05-29 17:05:34,41.7597,86.1469,80.37,18,99,12.62,overcast clouds
84,Saint-Philippe,RE,2022-05-29 17:05:35,-21.3585,55.7679,71.19,63,90,14.97,overcast clouds
85,Mount Isa,AU,2022-05-29 17:05:35,-20.7333,139.5,56.97,62,66,2.3,broken clouds
86,Tuktoyaktuk,CA,2022-05-29 17:05:35,69.4541,-133.0374,33.28,97,100,6.49,overcast clouds
87,Bredasdorp,ZA,2022-05-29 17:05:35,-34.5322,20.0403,54.54,56,11,9.86,few clouds
88,Airai,TL,2022-05-29 17:05:36,-8.9266,125.4092,60.01,91,100,0.22,overcast clouds
89,Fortuna,US,2022-05-29 17:05:36,40.5982,-124.1573,57.92,77,100,11.5,overcast clouds
90,Harper,LR,2022-05-29 17:05:36,4.375,-7.7169,82.38,76,61,7.72,light rain
91,Codrington,AU,2022-05-29 17:05:37,-38.2667,141.9667,48.42,62,79,12.15,broken clouds
92,Saint-Pierre,RE,2022-05-29 17:05:37,-21.3393,55.4781,71.28,68,20,13.8,few clouds
93,Thompson,CA,2022-05-29 17:05:37,55.7435,-97.8558,48.42,78,100,11.36,overcast clouds
94,Hitoyoshi,JP,2022-05-29 17:05:37,32.2167,130.75,63.64,96,100,4.0,light rain
95,Kaduqli,SD,2022-05-29 17:05:38,11.0167,29.7167,97.27,14,26,3.02,scattered clouds
96,Ponta Do Sol,PT,2022-05-29 17:05:38,32.6667,-17.1,74.03,81,98,11.05,overcast clouds
97,Yellowknife,CA,2022-05-29 17:01:27,62.456,-114.3525,50.56,34,7,15.99,clear sky
98,Charters Towers,AU,2022-05-29 17:05:38,-20.1,146.2667,61.48,57,76,5.19,broken clouds
99,Gola Bazar,IN,2022-05-29 17:05:39,26.3431,83.3553,96.51,31,21,11.25,few clouds
100,Te Anau,NZ,2022-05-29 17:05:39,-45.4167,167.7167,44.92,88,100,0.98,overcast clouds
101,Ust-Tsilma,RU,2022-05-29 17:05:39,65.441,52.1498,55.9,78,89,3.53,overcast clouds
102,Filadelfia,US,2022-05-29 17:04:29,39.9523,-75.1638,81.21,49,75,8.05,broken clouds
103,Narsaq,GL,2022-05-29 17:03:11,60.9167,-46.05,55.62,71,54,6.76,broken clouds
104,Leningradskiy,RU,2022-05-29 17:05:40,69.3833,178.4167,31.05,91,77,1.72,broken clouds
105,Monopoli,IT,2022-05-29 17:05:40,40.9559,17.2896,78.24,66,51,6.49,broken clouds
106,Varhaug,NO,2022-05-29 17:05:40,58.6147,5.6457,51.69,75,100,17.4,overcast clouds
