City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
540,Meulaboh,ID,77.63,4.1363,96.1285,Kost Pria
544,Kailua,US,75.18,21.4022,-157.7394,Sheffield House Bed & Breakfast
547,Alugan,PH,80.49,12.2188,125.4808,JM Lodge
553,Prachuap Khiri Khan,TH,81.57,12.2167,99.75,ผกากรองรีสอร์ท
558,San Fernando,PH,82.13,15.0286,120.6898,Maharlika Hostel
563,Winneba,GH,81.63,5.3511,-0.6231,Windy Lodge & Beach Resort
567,Amlame,TG,82.06,7.4667,0.9,Centre d’Acceuil AMITIE AIFFRES-AMLAME
574,Laya,PH,77.74,17.4726,121.4678,"M Hotel Tabuk, INC."
576,Luba,GQ,79.74,3.4568,8.5547,
577,Corinto,GR,79.9,37.9407,22.9573,Ephira Hotel
580,Marsh Harbour,BS,81.43,26.5412,-77.0636,Abaco Beach Resort
583,Limon,CR,84.09,10.0,-83.0333,Hotel Playa Bonita
584,Phan Thiet,VN,79.5,10.9333,108.1,Hotel Saigon-PT
586,Cayhagan,PH,80.76,9.6697,122.4256,Melrose Beach Resort
587,Liberia,LR,80.44,6.5,-9.5,
588,Bantou,CN,75.04,26.2151,117.4893,
589,Shaoguan,CN,76.17,24.8,113.5833,Shangcheng Hotel
590,Santo Antonio Do Ica,BR,85.98,-3.1022,-67.9397,HOTEL AMAZON WAY
593,Ledyard,US,77.85,41.4398,-72.0142,Stonecroft Country Inn
594,Namatanai,PG,78.06,-3.6667,152.4333,Seagulls Inn Namatani
597,Khed Brahma,IN,89.4,24.0333,73.05,UMIYA NASTA HOUSE
601,Umm Kaddadah,SD,89.87,13.6017,26.6876,
604,Janauba,BR,89.64,-15.8025,-43.3089,Ouro Norte Palace Hotel
605,Topeka,US,84.58,39.0483,-95.678,Hotel Topeka At City Center
609,Coahuayana,MX,89.4,18.7333,-103.6833,El rranchito michuacan de ocampos
610,Biak,ID,76.51,-0.9131,122.8766,Penginapan Kim
611,Fonte Boa,BR,83.93,-2.4959,-66.2662,
612,Manadhoo,MV,83.01,5.7667,73.3833,Bon Abri maldives
613,Roma,US,75.69,43.2128,-75.4557,Wingate By Wyndham Rome
614,Nouakchott,MR,80.53,18.0858,-15.9785,HOTEL IMAN
618,Bonthe,SL,84.49,7.5264,-12.505,Bonthe Holiday Village
623,Tabuk,PH,77.09,17.4189,121.4443,Golden Berries Hotel and Convention
624,El Carmen,CO,83.37,8.5106,-73.4478,Hotel La Casona
625,Okmulgee,US,86.85,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
628,Itarema,BR,83.5,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
631,Boyolangu,ID,75.78,-8.1181,111.8935,Yos ega cv
632,Ishigaki,JP,81.54,24.3448,124.1572,Hotel Peace Land Ishigakijima
635,Harihar,IN,76.87,14.5167,75.8,Azaam Dadapeer Palmbar
637,Villa Union,MX,85.01,23.2,-106.2333,My Fantasy Auto-Hotel
638,Suarez,CO,80.56,2.954,-76.6964,Hotel Estrella Dorada
640,Howell,US,78.87,42.6073,-83.9294,Kensington Inn
645,Rudbar,AF,81.01,30.15,62.6,
649,Bandar-E Lengeh,IR,87.12,26.5579,54.8807,کافی نت پارس
650,Yaqui,MX,86.56,27.3667,-110.1667,
653,Basco,PH,84.4,20.4487,121.9702,Nathaniel's Lodge
656,Mundo Nuevo,MX,84.6,18.7,-95.5,
660,Ratnagiri,IN,82.94,16.9833,73.3,Hotel Landmark
661,Chanute,US,84.31,37.6792,-95.4572,Guest House Motel Chanute
668,Gigmoto,PH,80.73,13.7796,124.39,Cj's Travellers Inn
669,Buala,SB,79.45,-8.145,159.5921,Maringe Lagoon Lodge
671,Ilawe,NG,82.33,7.8667,4.4333,MR SALAM LODGE
672,Nandu,CN,76.86,22.8525,110.8233,
683,Port Blair,IN,82.02,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
684,Sao Jose Da Coroa Grande,BR,80.01,-8.8978,-35.1478,Crôa Mares Hotel
688,Axim,GH,81.99,4.8699,-2.2405,Axim Beach Resort And Spa
690,Belmonte,BR,78.96,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
694,Manaure,CO,89.1,11.7751,-72.4445,Hotel Palaaima
695,Curaca,BR,84.54,-8.9903,-39.9094,Hotel Recanto Campestre
