City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Adamantina,BR,2022-05-29 15:53:41,-21.6853,-51.0725,87.21,29,0,13.2
68,Kapaa,US,2022-05-29 15:53:41,22.0752,-159.319,71.11,96,100,7.61
69,Port Macquarie,AU,2022-05-29 15:53:42,-31.4333,152.9167,49.89,78,15,5.59
70,San,ML,2022-05-29 15:53:42,13.3034,-4.8956,105.76,16,9,3.78
71,Aguimes,ES,2022-05-29 15:53:42,27.9054,-15.4461,69.66,73,75,5.75
72,Amahai,ID,2022-05-29 15:53:43,-3.3333,128.9167,78.28,84,98,3.91
73,Butaritari,KI,2022-05-29 15:53:43,3.0707,172.7902,81.03,72,96,13.82
74,Bonthe,SL,2022-05-29 15:53:43,7.5264,-12.505,85.41,68,81,8.7
75,Longyearbyen,SJ,2022-05-29 15:53:43,78.2186,15.6401,49.84,66,0,12.66
76,Bluff,NZ,2022-05-29 15:53:44,-46.6,168.3333,42.8,79,100,8.01
77,Ca Mau,VN,2022-05-29 15:52:29,9.1769,105.15,78.28,88,100,6.02
78,Avarua,CK,2022-05-29 15:53:44,-21.2078,-159.775,77.05,78,75,6.91
79,Puerto Leguizamo,CO,2022-05-29 15:53:44,-0.1934,-74.7819,80.62,79,67,1.23
80,Ushuaia,AR,2022-05-29 15:53:45,-54.8,-68.3,37.06,81,40,26.46
81,Carnarvon,AU,2022-05-29 15:53:45,-24.8667,113.6333,69.22,42,100,23.4
82,Norman Wells,CA,2022-05-29 15:53:45,65.282,-126.8329,46.44,71,100,0.0
83,Souillac,MU,2022-05-29 15:53:45,-20.5167,57.5167,73.78,73,40,16.11
84,Cabo San Lucas,MX,2022-05-29 15:49:41,22.8909,-109.9124,91.71,48,0,4.0
85,Mahebourg,MU,2022-05-29 15:53:46,-20.4081,57.7,73.69,73,40,16.11
86,Broken Hill,AU,2022-05-29 15:53:46,-31.95,141.4333,52.63,87,100,28.83
87,Hobart,AU,2022-05-29 15:50:35,-42.8794,147.3294,47.05,89,40,6.91
88,Lata,PT,2022-05-29 15:53:47,40.1629,-8.3327,75.9,50,44,12.71
89,Praia,CV,2022-05-29 15:53:47,14.9215,-23.5087,82.94,51,0,18.41
90,Yellowknife,CA,2022-05-29 15:50:43,62.456,-114.3525,48.72,37,20,17.27
91,Vicuna,CL,2022-05-29 15:53:47,-30.0319,-70.7081,61.77,47,100,4.99
92,Qaqortoq,GL,2022-05-29 15:53:47,60.7167,-46.0333,39.76,82,93,5.82
93,Port Alfred,ZA,2022-05-29 15:53:48,-33.5906,26.891,58.24,73,90,30.56
94,Avera,US,2022-05-29 15:53:48,33.194,-82.5271,87.55,44,1,4.72
95,Fukue,JP,2022-05-29 15:53:48,32.6881,128.8419,67.44,92,100,22.08
96,Rosetta,EG,2022-05-29 15:53:49,31.4044,30.4164,78.39,63,0,12.64
97,Hilo,US,2022-05-29 15:53:49,19.7297,-155.09,74.28,97,100,6.91
98,Los Llanos De Aridane,ES,2022-05-29 15:53:49,28.6585,-17.9182,71.35,77,20,5.75
99,Pochutla,MX,2022-05-29 15:53:50,15.7432,-96.4661,74.82,78,100,2.35
100,Bafq,IR,2022-05-29 15:53:50,31.6128,55.4107,82.99,8,0,12.8
101,Thompson,CA,2022-05-29 15:53:50,55.7435,-97.8558,55.56,62,75,8.05
102,Kisangani,CD,2022-05-29 15:53:50,0.5167,25.2,78.8,73,26,3.29
103,Tezu,IN,2022-05-29 15:52:47,27.9167,96.1667,74.44,89,2,4.41
104,Flinders,AU,2022-05-29 15:53:51,-34.5833,150.8552,54.18,65,0,8.99
105,Dongying,CN,2022-05-29 15:53:51,37.4564,118.4856,64.2,80,88,7.18
106,Westlock,CA,2022-05-29 15:53:51,54.1502,-113.8688,44.69,84,100,14.41
107,Saint-Philippe,RE,2022-05-29 15:53:52,-21.3585,55.7679,71.19,64,91,14.99
108,Banyo,CM,2022-05-29 15:53:52,6.75,11.8167,79.57,65,12,2.86
109,Ajdabiya,LY,2022-05-29 15:53:52,30.7554,20.2263,81.86,35,0,14.34
110,Pevek,RU,2022-05-29 15:53:53,69.7008,170.3133,26.65,86,97,1.7
111,Touros,BR,2022-05-29 15:53:53,-5.1989,-35.4608,83.91,65,32,13.09
112,Les Cayes,HT,2022-05-29 15:53:53,18.2,-73.75,86.18,60,98,11.12
113,Krasnoarmeysk,RU,2022-05-29 15:53:53,51.0239,45.6969,59.13,81,60,6.73
114,West Wendover,US,2022-05-29 15:51:37,40.7391,-114.0733,51.01,43,0,12.66
115,Riyadh,SA,2022-05-29 15:53:34,24.6877,46.7219,100.54,9,1,9.73
116,Valea Ursului,RO,2022-05-29 15:53:54,46.8167,27.0833,64.92,77,98,5.84
117,Ventspils,LV,2022-05-29 15:51:03,57.3894,21.5606,53.53,82,0,6.91
118,Laguna,US,2022-05-29 15:53:54,38.421,-121.4238,64.44,44,20,4.0
119,Weligama,LK,2022-05-29 15:53:54,5.9667,80.4167,78.91,88,100,10.87
120,Ostersund,SE,2022-05-29 15:53:55,63.1792,14.6357,50.61,87,100,4.61
121,Ocos,GT,2022-05-29 15:53:55,14.5094,-92.1933,83.41,66,95,2.51
122,Russell,US,2022-05-29 15:53:55,32.3502,-85.1999,85.91,61,0,0.0
123,Faya,SA,2022-05-29 15:53:57,18.3851,42.4509,77.11,41,55,8.95
124,San Quintin,MX,2022-05-29 15:53:57,30.4833,-115.95,63.7,71,39,17.9
125,San Patricio,US,2022-05-29 15:53:57,28.017,-97.5169,88.07,45,13,17.98
126,Phuthaditjhaba,ZA,2022-05-29 15:53:57,-28.5242,28.8158,58.06,47,58,12.37
127,Idukki,IN,2022-05-29 15:53:58,9.85,76.9667,71.08,96,60,1.97
128,Kangaatsiaq,GL,2022-05-29 15:53:58,68.3065,-53.4641,30.7,69,0,6.15
129,Upernavik,GL,2022-05-29 15:53:58,72.7868,-56.1549,30.87,82,6,13.42
130,Luganville,VU,2022-05-29 15:53:59,-15.5333,167.1667,77.38,86,37,2.33
131,Suzhou,CN,2022-05-29 15:53:59,31.3114,120.6181,71.87,95,43,3.67
132,Kampot,KH,2022-05-29 15:53:59,10.6167,104.1833,84.25,87,99,8.48
133,Santander,ES,2022-05-29 15:54:00,43.4647,-3.8044,69.71,68,20,18.01
134,Naron,ES,2022-05-29 15:54:00,43.5167,-8.1528,74.05,66,7,3.2
135,Tonantins,BR,2022-05-29 15:54:00,-2.8731,-67.8022,84.67,69,79,1.48
136,Omboue,GA,2022-05-29 15:54:00,-1.5746,9.2618,77.0,74,42,11.18
137,Tual,ID,2022-05-29 15:54:01,-5.6667,132.75,82.71,71,83,4.68
138,Inhambane,MZ,2022-05-29 15:54:01,-23.865,35.3833,75.18,69,0,9.22
139,Saskylakh,RU,2022-05-29 15:54:01,71.9167,114.0833,14.49,98,87,4.7
140,Mae Hong Son,TH,2022-05-29 15:54:02,19.3003,97.9685,76.64,87,59,2.86
141,Baykit,RU,2022-05-29 15:54:02,61.67,96.37,52.27,77,87,1.88
142,Port Blair,IN,2022-05-29 15:53:14,11.6667,92.75,84.24,84,75,9.22
143,East London,ZA,2022-05-29 15:54:02,-33.0153,27.9116,58.14,67,20,31.07
144,Alyangula,AU,2022-05-29 15:54:03,-13.8483,136.4192,74.55,69,81,6.44
145,Port Lincoln,AU,2022-05-29 15:50:19,-34.7333,135.8667,56.79,76,100,24.25
146,Ucluelet,CA,2022-05-29 15:54:03,48.9329,-125.5528,53.1,84,90,4.0
147,Cotonou,BJ,2022-05-29 15:53:27,6.3654,2.4183,87.78,66,40,12.66
148,San Jeronimo,PE,2022-05-29 15:54:03,-11.9472,-75.2829,58.17,50,21,2.53
149,Hay River,CA,2022-05-29 15:54:04,60.8156,-115.7999,42.78,75,75,9.22
150,Daman,IN,2022-05-29 15:54:04,20.4167,72.85,83.75,75,0,15.43
151,Bethel,US,2022-05-29 15:51:10,41.3712,-73.414,75.15,56,0,1.01
152,Ust-Maya,RU,2022-05-29 15:54:05,60.4167,134.5333,50.22,70,99,9.98
153,Banjar,ID,2022-05-29 15:54:05,-8.19,114.9675,76.86,86,52,3.36
154,Christchurch,NZ,2022-05-29 15:54:05,-43.5333,172.6333,52.92,88,75,8.01
